x,pdf_1,cdf_1,quantile_1,pdf_2,cdf_2,quantile_2,pdf_5,cdf_5,quantile_5,pdf_10,cdf_10,quantile_10,pdf_100,cdf_100,quantile_100
-12.35999999999999943,2.07004431424541e-03,0.02569725483669483,NaN,5.19363601502124e-04,0.003241113411113253,NaN,1.20829755606708e-05,3.07040269916149e-05,NaN,8.44145790770986e-08,1.10568021374559e-07,NaN, 1.82902595282640e-21,3.71690605495174e-22,NaN
-12.34999999999999787,2.07337612521807e-03,0.02571797193220883,NaN,5.20609886391955e-04,0.003246313275244651,NaN,1.21399272204835e-05,3.08251412463739e-05,NaN,8.51228920173869e-08,1.11415703378888e-07,NaN, 1.92163232493071e-21,3.90440072389034e-22,NaN
-12.33999999999999986,2.07671596903741e-03,0.02573872238597533,NaN,5.21860148860270e-04,0.003251525622099679,NaN,1.21971908245699e-05,3.09468265758373e-05,NaN,8.58376578077919e-08,1.12270500724334e-07,NaN, 2.01894429415934e-21,4.10138936021209e-22,NaN
-12.32999999999999829,2.08006387148957e-03,0.02575950627845167,NaN,5.23114404735201e-04,0.003256750491533203,NaN,1.22547683178299e-05,3.10690861091611e-05,NaN,8.65589398243482e-08,1.13132478255724e-07,NaN, 2.12120176469839e-21,4.30835441913796e-22,NaN
-12.32000000000000028,2.08341985846400e-03,0.02578032369035352,NaN,5.24372669920270e-04,0.003261987923558742,NaN,1.23126616587489e-05,3.11919229950179e-05,NaN,8.72868021100738e-08,1.14001701454976e-07,NaN, 2.22865690957064e-21,4.52580295463598e-22,NaN
-12.30999999999999872,2.08678395595397e-03,0.02580117470265599,NaN,5.25634960394805e-04,0.003267237958349231,NaN,1.23708728195036e-05,3.13153404017339e-05,NaN,8.80213093824541e-08,1.14878236447805e-07,NaN, 2.34157479985391e-21,4.75426787750405e-22,NaN
-12.30000000000000071,2.09015619005707e-03,0.02582205939659463,NaN,5.26901292214356e-04,0.003272500636237778,NaN,1.24294037860670e-05,3.14393415174258e-05,NaN,8.87625270410112e-08,1.15762150010502e-07,NaN, 2.46023406625208e-21,4.99430927797619e-22,NaN
-12.28999999999999915,2.09353658697569e-03,0.02584297785366650,NaN,5.28171681511124e-04,0.003277775997718434,NaN,1.24882565583160e-05,3.15639295501394e-05,NaN,8.95105211749688e-08,1.16653509576799e-07,NaN, 2.58492759468732e-21,5.24651581617545e-22,NaN
-12.28000000000000114,2.09692517301757e-03,0.02586393015563121,NaN,5.29446144494386e-04,0.003283064083446948,NaN,1.25474331501383e-05,3.16891077279891e-05,NaN,9.02653585710010e-08,1.17552383244797e-07,NaN, 2.71596325766579e-21,5.51150618389741e-22,NaN
-12.26999999999999957,2.10032197459627e-03,0.02588491638451197,NaN,5.30724697450918e-04,0.003288364934241557,NaN,1.26069355895416e-05,3.18148792992992e-05,NaN,9.10271067210818e-08,1.18458839783986e-07,NaN, 2.85366468326185e-21,5.78993064139680e-22,NaN
-12.25999999999999801,2.10372701823167e-03,0.02590593662259665,NaN,5.32007356745435e-04,0.003293678591083752,NaN,1.26667659187631e-05,3.19412475327445e-05,NaN,9.17958338304216e-08,1.19372948642336e-07,NaN, 2.99837206365941e-21,6.08247263303321e-22,NaN
