x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
2.3,0.0506057052756424,0.0508052634252908,0.0481341097596149,0.04355096135044,0.040516853782231,0.0376555867097533,0.035006674311679,0.0335224603961498,0.0305482126582477,0.0294628327574753,0.0284429454604048,0.0283386521057583
2.4,0.0470872612697915,0.0462601906325862,0.043107594875664,0.038089656526432,0.0348690847539413,0.0318794937500306,0.0291466359766715,0.0276291216287624,0.0246174655526591,0.0235283525783226,0.0225099558816609,0.0224060934373758
2.5,0.0439048118874194,0.042200643868048,0.0386614857271673,0.0333262388870228,0.0299902255898922,0.0269387276282445,0.0241844243891537,0.0226694437191449,0.0196947020817066,0.0186300037464128,0.0176401330951335,0.0175395003317831
2.6,0.0410193152298699,0.0385694850684638,0.0347266084021721,0.0291757416859392,0.0257851409697728,0.0227281197984649,0.0200048869804625,0.0185222801648031,0.0156456274835614,0.0146282309847644,0.0136887084554236,0.0135935550273615
2.7,0.0383968499618565,0.0353164001574158,0.0312414552565565,0.0255616110205445,0.0221673781808975,0.019151294092491,0.0165016238208396,0.0150751440233757,0.0123442264846725,0.0113915405518039,0.0105187225942425,0.0104307203906892
2.8,0.0360079056768994,0.0323971907044379,0.0281516231782209,0.0224155190216772,0.0190593305378157,0.0161212574394221,0.0135780822075542,0.0122256418680225,0.00967503621615552,0.00879914447542051,0.00800405738817327,0.00792431385879032
2.9,0.0338267679260139,0.0297730896913421,0.0254091838849384,0.0196769388905985,0.0163920281347172,0.0135604702952449,0.011147973322739,0.00988213176649872,0.00753442457371173,0.00674252327723617,0.0060313015802723,0.00596040620675967
3,0.0318309886183791,0.0274101222343422,0.0229720373092413,0.017292578800223,0.0141046825172161,0.0114005494645425,0.00913518394436869,0.00796378664618067,0.00583106055835652,0.00512608970232026,0.0045006246101399,0.00443871861238015
3.1,0.0300009317798106,0.0252785215712209,0.0208032808354254,0.0152157450449528,0.0121440826945815,0.00958172767089771,0.00747333276858156,0.00640022610551243,0.00448576214898076,0.00386714424262991,0.00332585190289169,0.00327271135174864
3.2,0.0283193848917963,0.0233522038592741,0.0188706141586123,0.0134056837363289,0.0104639149173001,0.00805216737234214,0.00610509499260938,0.0051308560784476,0.00343089389609793,0.00289530631274119,0.00243393572941165,0.00238905922691709
3.3,0.0267712267606216,0.021608301154203,0.017145790526982,0.0118269341511712,0.00902405811288636,0.00676720244068693,0.00498139323773743,0.00410403028878509,0.00260946520501566,0.00215158735009659,0.00176400307982125,0.00172669675625258
3.4,0.0253431438044419,0.0200267495056625,0.0156041190513806,0.0104487147493952,0.00778989059268881,0.00568856110662993,0.00406052945101278,0.00327612264644255,0.00197405507064068,0.0015872480975634,0.00126614017881727,0.00123559464380685
3.5,0.0240233876365125,0.0185899278184568,0.0142240188015297,0.00924435409252092,0.00673163113264534,0.00478360712670132,0.00330731208228315,0.00261057722759635,0.00148566289423631,0.001162555483879,0.000900046358794573,0.000875402167833658
3.6,0.0228015677782085,0.0172823425800474,0.0129866229347285,0.00819077268712905,0.00582372820145261,0.00402462321502946,0.00269221595531124,0.0020769830997115,0.00111256016287571,0.000845527662136724,0.000633661404235404,0.000614061361133533
3.7,0.0216684742126474,0.0160903534667568,0.0118754296622144,0.00726801753256939,0.00504430436161806,0.0033881509779624,0.00219059879468182,0.00165020530595878,0.000829195625165384,0.000610730895159801,0.000441842817597411,0.000426470895189878
3.8,0.0206159252709709,0.0150019350263683,0.0108759961168658,0.00645884836436984,0.00437465815090885,0.0028543943946096,0.0017819880404976,0.00130959073915678,0.000615187906077831,0.000438170329812986,0.000305144552429768,0.000293252312346931
3.9,0.0196366370255269,0.0140064699710022,0.00997567090554898,0.0057483728547694,0.00379882258628844,0.00240668880199549,0.00144944395770597,0.001038258107869,0.000454424505595576,0.000312298881033528,0.000208727684686446,0.000199649803072089
4,0.0187241109519877,0.0130945700219731,0.00916336114274447,0.00512372705191791,0.00330317742378091,0.00203103391104122,0.00117899965949812,0.000822474300133139,0.000334274688180493,0.000221154556540629,0.000141416688817019,0.00013457758132743
4.1,0.0178725371243004,0.0122579206781158,0.00842932995341343,0.00457379687769171,0.00287611113877723,0.00171568720148834,0.000959175059024669,0.000651114716363796,0.00024491552690469,0.000155626352641866,9.49024077496883e-05,8.98160532501324e-05
4.2,0.0170767106321776,0.0114891467007771,0.00776502072378357,0.00408897638953717,0.00250772801512678,0.0014508127902,0.000780559528577717,0.000515202117775815,0.000178764828285376,0.000108841883358863,6.30840781633155e-05,5.93490376127947e-05
4.3,0.0163319592705896,0.010781695505271,0.00716290471664345,0.00366095862024062,0.0021895955602305,0.00122818027352395,0.000635456827207162,0.000407516809972926,0.000130011302827185,7.5665607655505e-05,4.15373207198784e-05,3.88287076095272e-05
4.4,0.0156340808538208,0.0101297360114212,0.00661634901908186,0.00328255505294261,0.00191452755781684,0.00104090790478535,0.000517585366359677,0.000322270202534057,9.42306517053094e-05,5.22943098995156e-05,2.7092172325583e-05,2.5152017807771e-05
4.5,0.0149792887615902,0.00952807083151784,0.00611950213440768,0.00294754010583311,0.00167639832884163,0.000883244626693109,0.000421826888709724,0.000254833667833586,6.8075755523533e-05,3.59358194751446e-05,1.75043693211563e-05,1.61314904852542e-05
4.6,0.0143641645389797,0.00897205996247174,0.00566719485393107,0.00265051735027483,0.00146998412214829,0.000750385820631505,0.000344016961698536,0.000201514940443646,4.90294920198654e-05,2.45573490018397e-05,1.12035915383856e-05,1.02437525973997e-05
4.7,0.0137856165519182,0.00845755440193781,0.00525485434187542,0.00238680454034931,0.00129082795052153,0.000638318078092121,0.000280771203597184,0.000159374881229499,3.52095681014185e-05,1.66908945790591e-05,7.1037441226467e-06,6.44062129433827e-06
4.8,0.0132408438512392,0.00798083832844879,0.0048784296352102,0.00215233487387578,0.00113512459137826,0.000543688786595876,0.000229341772251227,0.000126078152604921,2.52158930179226e-05,1.12845712662241e-05,4.46218825876975e-06,4.00942179709157e-06
4.9,0.0127273045255414,0.00753857867637635,0.00453432699933938,0.00194357222475539,0.000999622863316508,0.000463696814984586,0.000187499290136439,9.97721255561306e-05,1.8012273857835e-05,7.5903293214643e-06,2.7768377531357e-06,2.47128173921882e-06
5,0.0122426879301458,0.00712778110110649,0.00421935379149331,0.00175743837880785,0.000881542657326006,0.000396001056463799,0.000153436011159048,7.89891062440352e-05,1.28354657501935e-05,5.08005823472727e-06,1.71201223331225e-06,1.50817089946816e-06
5.1,0.0117848902696701,0.00674575147137828,0.00393066966831886,0.00159125056808138,0.000778504537796064,0.000338644027785624,0.000125686628341132,6.2567693470421e-05,9.12578366259324e-06,3.38353959939225e-06,1.0457524072452e-06,9.11313736181047e-07
5.2,0.011351993087867,0.00639006214725555,0.00366574413490706,0.00144266783198571,0.000688470030677416,0.000289988121994399,0.000103063662471477,4.958973725809e-05,6.47453911148754e-06,2.24300298227487e-06,6.32890596470765e-07,5.45224853071902e-07
5.3,0.0109422442827016,0.00605852240637232,0.00342231957183288,0.00130964493884949,0.000609690984018097,0.000248662467479835,8.46048534702117e-05,3.93299537053748e-05,4.58448511021526e-06,1.48014905530114e-06,3.79505856320153e-07,3.22979583492709e-07
5.4,0.0105540413190912,0.00574915247031465,0.00319837899716548,0.00119039278068862,0.000540666620986282,0.0002135186580399,6.95303975563765e-05,3.12157601588339e-05,3.24023357295657e-06,9.72430366495076e-07,2.25481489683195e-07,1.89438196350657e-07
5.5,0.0101859163578813,0.00546016065938371,0.00299211792416146,0.00108334430948539,0.000480107109745513,0.000183593889496932,5.72082367099888e-05,2.47953304476275e-05,2.28625833195545e-06,6.36134402571074e-07,1.32745125462786e-07,1.10015648999833e-07
5.6,0.0098365230588316,0.00518992326936783,0.00280191976461207,0.000987125217627791,0.000426902650967276,0.000158080271452057,4.71259167820722e-05,1.97122381035288e-05,1.61062665016442e-06,4.14415307720938e-07,7.74380546173821e-08,6.32611702146646e-08
5.7,0.00950462484872471,0.00493696681992814,0.00262633430450587,0.000900528680798546,0.000380097235324089,0.000136299281820989,3.88677923345596e-05,1.56853632371998e-05,1.13302790675983e-06,2.68891945244158e-07,4.47642726349584e-08,3.60178056553944e-08
5.8,0.00918908447412791,0.00469995237214371,0.0024640588445011,0.000822493580856182,0.000338866352940173,0.000117680500809559,3.2096575633121e-05,1.249299361746e-05,7.96005801426406e-07,1.73793194437855e-07,2.5642664168824e-08,2.03046734419211e-08
5.9,0.00888885468259678,0.00447766165384541,0.00231392165418663,0.000752085711245666,0.000302498047268784,0.000101743903787484,2.65384098246433e-05,9.96025994142423e-06,5.58565022845032e-07,1.11907155952262e-07,1.45566930779218e-08,1.13337852563037e-08
6,0.00860296989685921,0.00426898476659901,0.00217486743756131,0.00068848154013743,0.000270376799775206,8.80851126794125e-05,2.19707975127694e-05,7.94921623634279e-06,3.91528465213629e-07,7.17975252457945e-08,8.18924586147308e-09,6.26405654317425e-09
6.1,0.00833053876429706,0.00407290927843612,0.0020459445487235,0.00063095416852988,0.000241969811440485,7.63631062622097e-05,1.82128405170473e-05,6.3510150654558e-06,2.74178592838762e-07,4.59032303084831e-08,4.56583817790088e-09,3.42799050457674e-09
6.2,0.00807073747930504,0.00388851053240875,0.00192629373242025,0.000578861173465936,0.000216815314511761,6.6289974031585e-05,1.51173488351359e-05,5.07973923020261e-06,1.91836452206775e-07,2.92492019651014e-08,2.52293775105108e-09,1.85749802326017e-09
6.3,0.00782280378923054,0.00371494302338294,0.00181513819471133,0.000531634071621121,0.000194512604907844,5.76223686193833e-05,1.25644604421864e-05,4.06754172013379e-06,1.34122375342861e-07,1.8577010283302e-08,1.38170757806569e-09,9.96606010117293e-10
6.4,0.0075860316059054,0.00355143271471923,0.00171177483528472,0.000488769176956846,0.000174713533805901,5.01543703076083e-05,1.04564817494725e-05,3.26081779222027e-06,9.37103005677254e-08,1.17620182461324e-08,7.50004157005736e-10,5.29452060605809e-10
6.5,0.00735976615453851,0.00339727018306363,0.00161556649554324,0.000449819658878939,0.000157115237534893,4.3711525888458e-05,8.71371401507143e-06,2.61719064291889e-06,6.5438191823696e-08,7.4247948225235e-09,4.03518677148601e-10,2.78509116789941e-10
6.6,0.00714339960017483,0.00325180449377721,0.00152593509600126,0.000414388635241164,0.000141453919140438,3.81458645743109e-05,7.27107603121197e-06,2.10313797323263e-06,4.56744591797531e-08,4.67342351903890e-09,2.15194284367955e-10,1.45065279503503e-10
6.7,0.00693636709923275,0.00311443772189041,0.00144235555324254,0.000382123158307915,0.000127499523851767,3.33317272343847e-05,6.07536990692602e-06,1.69212314497625e-06,3.1867827632202e-08,2.933489380369e-09,1.13757434648685e-10,7.48170387470946e-11
6.8,0.00673814322997017,0.00298462004415893,0.00136435038108525,0.000352708972055887,0.000115051175014542,2.91622730778401e-05,5.08306629714842e-06,1.36312346801122e-06,2.22282710147976e-08,1.83646366039452e-09,5.96109197717458e-11,3.82078175223645e-11
